cliente,tempo_chegada,inicio_atendimento,fim_atendimento,tempo_espera
304,930.9899999999985,931.8199999999986,932.6099999999985,0.8300000000000409
305,931.1699999999985,932.6099999999985,937.5699999999986,1.4400000000000546
306,931.7099999999984,935.5799999999988,936.6199999999988,3.8700000000003456
307,937.0699999999985,937.0699999999985,941.2399999999984,0
308,943.1099999999984,943.1099999999984,944.7799999999984,0
309,943.9299999999985,943.9299999999985,944.9399999999985,0
310,947.4699999999984,947.4699999999984,951.0499999999985,0
311,948.5899999999984,948.5899999999984,950.1099999999984,0
312,950.1899999999985,950.1899999999985,960.0999999999984,0
313,956.3099999999985,956.3099999999985,959.5599999999985,0
314,957.5799999999984,959.5599999999985,961.8799999999985,1.9800000000000182
315,960.4899999999984,960.4899999999984,975.7599999999984,0
316,965.5299999999984,965.5299999999984,968.5899999999983,0
317,966.5499999999984,968.5899999999983,973.6899999999983,2.0399999999999636
318,971.0699999999983,973.6899999999983,974.1299999999984,2.6200000000000045
319,972.0099999999984,974.1299999999984,979.8799999999984,2.1200000000000045
320,974.5799999999984,975.7599999999984,977.2599999999984,1.17999999999995
321,978.3499999999984,978.3499999999984,990.3299999999984,0
322,979.2299999999984,979.8799999999984,983.5299999999984,0.6499999999999773
323,979.4199999999985,983.5299999999984,990.8899999999984,4.1099999999999
324,979.8799999999985,990.3299999999984,993.9699999999984,10.449999999999932
325,983.9099999999985,990.8899999999984,994.7399999999984,6.9799999999999045
326,985.6899999999985,993.9699999999984,995.5599999999985,8.279999999999973
327,986.0899999999984,994.7399999999984,1017.9399999999985,8.649999999999977
328,987.1699999999985,995.5599999999985,1001.2799999999985,8.389999999999986
329,989.6899999999985,1001.2799999999985,1011.1299999999985,11.590000000000032
330,990.0699999999985,1011.1299999999985,1025.2299999999984,21.06000000000006
331,992.5999999999984,1017.9399999999985,1023.8999999999985,25.340000000000032
332,995.1299999999984,1023.8999999999985,1029.8499999999985,28.770000000000095
333,998.0099999999984,1025.2299999999984,1030.4199999999985,27.220000000000027
334,1004.6799999999984,1029.8499999999985,1030.2499999999986,25.170000000000186
